항목,값,icon,stats,금지항목
질병에 취약함;Prone to Illness,4,icons/Trait_hypercondriac.png,,Resilient
잠꾸러기;Sleepyhead,4,icons/Trait_needsmoresleep.png,,Wakeful;Restless Sleeper
천식환자;Short of Breath,5,icons/Trait_asthmatic.png,,
피 공포증;Fear of Blood,5,icons/Trait_hemophobic.png,,Desensitized
평화주의자;Reluctant Fighter,5,icons/Trait_pacifist.png,,
비체계적인;Disorganized,6,icons/Trait_disorganized.png,,Organized
연약함;Feeble,6,icons/Trait_feeble.png,str:-2,Weak;Stout;Strong
건강 이상;Out of Shape,6,icons/Trait_out_of_shape.png,fit:-2,Athletic;Fit;Unfit
수면장애;Restless Sleeper,6,icons/Trait_insomniac.png,,
느린 학습;Slow Learner,6,icons/Trait_slowlearner.png,,Crafty;Fast Learner
얇은 피부;Thin-skinned,8,icons/Trait_thinskinned.png,,Thick Skinned
문맹;Illiterate,10,icons/Trait_illiterate.png,,Slow Reader;Fast Reader
약함;Weak,10,icons/Trait_weak.png,str:-5,Strong;Stout;Feeble
비실함;Unfit,10,icons/Trait_unfit.png,fit:-4,Athletic;Fit;Out of Shape
청각장애;Deaf,12,icons/Trait_deaf.png,,Hard of Hearing;Keen Hearing
